Type,Train Losses,Train Accuracies
normal,2.172295104265213,0.19308
normal,2.172295104265213,0.36618
normal,2.172295104265213,0.44166
normal,2.172295104265213,0.48938
normal,2.172295104265213,0.52674
normal,2.172295104265213,0.56318
normal,2.172295104265213,0.59634
normal,2.172295104265213,0.61908
normal,2.172295104265213,0.64954
normal,2.172295104265213,0.67512
normal,2.172295104265213,0.69598
normal,2.172295104265213,0.71684
normal,2.172295104265213,0.73604
normal,2.172295104265213,0.75554
normal,2.172295104265213,0.77486
normal,2.172295104265213,0.79568
normal,2.172295104265213,0.81318
normal,2.172295104265213,0.83286
normal,2.172295104265213,0.85034
normal,2.172295104265213,0.86588
normal,2.172295104265213,0.87678
normal,2.172295104265213,0.89862
normal,2.172295104265213,0.91244
normal,2.172295104265213,0.92122
normal,2.172295104265213,0.92768
normal,2.172295104265213,0.94404
normal,2.172295104265213,0.94786
normal,2.172295104265213,0.95498
normal,2.172295104265213,0.95754
normal,2.172295104265213,0.96254
normal,2.172295104265213,0.96734
normal,2.172295104265213,0.97064
normal,2.172295104265213,0.97636
normal,2.172295104265213,0.97362
normal,2.172295104265213,0.9793
normal,2.172295104265213,0.98142
normal,2.172295104265213,0.98108
normal,2.172295104265213,0.98212
normal,2.172295104265213,0.98472
normal,2.172295104265213,0.98126
normal,1.763878653049469,0.19308
normal,1.763878653049469,0.36618
normal,1.763878653049469,0.44166
normal,1.763878653049469,0.48938
normal,1.763878653049469,0.52674
normal,1.763878653049469,0.56318
normal,1.763878653049469,0.59634
normal,1.763878653049469,0.61908
normal,1.763878653049469,0.64954
normal,1.763878653049469,0.67512
normal,1.763878653049469,0.69598
normal,1.763878653049469,0.71684
normal,1.763878653049469,0.73604
normal,1.763878653049469,0.75554
normal,1.763878653049469,0.77486
normal,1.763878653049469,0.79568
normal,1.763878653049469,0.81318
normal,1.763878653049469,0.83286
normal,1.763878653049469,0.85034
normal,1.763878653049469,0.86588
normal,1.763878653049469,0.87678
normal,1.763878653049469,0.89862
normal,1.763878653049469,0.91244
normal,1.763878653049469,0.92122
normal,1.763878653049469,0.92768
normal,1.763878653049469,0.94404
normal,1.763878653049469,0.94786
normal,1.763878653049469,0.95498
normal,1.763878653049469,0.95754
normal,1.763878653049469,0.96254
normal,1.763878653049469,0.96734
normal,1.763878653049469,0.97064
normal,1.763878653049469,0.97636
normal,1.763878653049469,0.97362
normal,1.763878653049469,0.9793
normal,1.763878653049469,0.98142
normal,1.763878653049469,0.98108
normal,1.763878653049469,0.98212
normal,1.763878653049469,0.98472
normal,1.763878653049469,0.98126
normal,1.558694876909256,0.19308
normal,1.558694876909256,0.36618
normal,1.558694876909256,0.44166
normal,1.558694876909256,0.48938
normal,1.558694876909256,0.52674
normal,1.558694876909256,0.56318
normal,1.558694876909256,0.59634
normal,1.558694876909256,0.61908
normal,1.558694876909256,0.64954
normal,1.558694876909256,0.67512
normal,1.558694876909256,0.69598
normal,1.558694876909256,0.71684
normal,1.558694876909256,0.73604
normal,1.558694876909256,0.75554
normal,1.558694876909256,0.77486
normal,1.558694876909256,0.79568
normal,1.558694876909256,0.81318
normal,1.558694876909256,0.83286
normal,1.558694876909256,0.85034
normal,1.558694876909256,0.86588
normal,1.558694876909256,0.87678
normal,1.558694876909256,0.89862
normal,1.558694876909256,0.91244
normal,1.558694876909256,0.92122
normal,1.558694876909256,0.92768
normal,1.558694876909256,0.94404
normal,1.558694876909256,0.94786
normal,1.558694876909256,0.95498
normal,1.558694876909256,0.95754
normal,1.558694876909256,0.96254
normal,1.558694876909256,0.96734
normal,1.558694876909256,0.97064
normal,1.558694876909256,0.97636
normal,1.558694876909256,0.97362
normal,1.558694876909256,0.9793
normal,1.558694876909256,0.98142
normal,1.558694876909256,0.98108
normal,1.558694876909256,0.98212
normal,1.558694876909256,0.98472
normal,1.558694876909256,0.98126
normal,1.420173581123352,0.19308
normal,1.420173581123352,0.36618
normal,1.420173581123352,0.44166
normal,1.420173581123352,0.48938
normal,1.420173581123352,0.52674
normal,1.420173581123352,0.56318
normal,1.420173581123352,0.59634
normal,1.420173581123352,0.61908
normal,1.420173581123352,0.64954
normal,1.420173581123352,0.67512
normal,1.420173581123352,0.69598
normal,1.420173581123352,0.71684
normal,1.420173581123352,0.73604
normal,1.420173581123352,0.75554
normal,1.420173581123352,0.77486
normal,1.420173581123352,0.79568
normal,1.420173581123352,0.81318
normal,1.420173581123352,0.83286
normal,1.420173581123352,0.85034
normal,1.420173581123352,0.86588
normal,1.420173581123352,0.87678
normal,1.420173581123352,0.89862
normal,1.420173581123352,0.91244
normal,1.420173581123352,0.92122
normal,1.420173581123352,0.92768
normal,1.420173581123352,0.94404
normal,1.420173581123352,0.94786
normal,1.420173581123352,0.95498
normal,1.420173581123352,0.95754
normal,1.420173581123352,0.96254
normal,1.420173581123352,0.96734
normal,1.420173581123352,0.97064
normal,1.420173581123352,0.97636
normal,1.420173581123352,0.97362
normal,1.420173581123352,0.9793
normal,1.420173581123352,0.98142
normal,1.420173581123352,0.98108
normal,1.420173581123352,0.98212
normal,1.420173581123352,0.98472
normal,1.420173581123352,0.98126
normal,1.3178704926967622,0.19308
normal,1.3178704926967622,0.36618
normal,1.3178704926967622,0.44166
normal,1.3178704926967622,0.48938
normal,1.3178704926967622,0.52674
normal,1.3178704926967622,0.56318
normal,1.3178704926967622,0.59634
normal,1.3178704926967622,0.61908
normal,1.3178704926967622,0.64954
normal,1.3178704926967622,0.67512
normal,1.3178704926967622,0.69598
normal,1.3178704926967622,0.71684
normal,1.3178704926967622,0.73604
normal,1.3178704926967622,0.75554
normal,1.3178704926967622,0.77486
normal,1.3178704926967622,0.79568
normal,1.3178704926967622,0.81318
normal,1.3178704926967622,0.83286
normal,1.3178704926967622,0.85034
normal,1.3178704926967622,0.86588
normal,1.3178704926967622,0.87678
normal,1.3178704926967622,0.89862
normal,1.3178704926967622,0.91244
normal,1.3178704926967622,0.92122
normal,1.3178704926967622,0.92768
normal,1.3178704926967622,0.94404
normal,1.3178704926967622,0.94786
normal,1.3178704926967622,0.95498
normal,1.3178704926967622,0.95754
normal,1.3178704926967622,0.96254
normal,1.3178704926967622,0.96734
normal,1.3178704926967622,0.97064
normal,1.3178704926967622,0.97636
normal,1.3178704926967622,0.97362
normal,1.3178704926967622,0.9793
normal,1.3178704926967622,0.98142
normal,1.3178704926967622,0.98108
normal,1.3178704926967622,0.98212
normal,1.3178704926967622,0.98472
normal,1.3178704926967622,0.98126
normal,1.219667493700981,0.19308
normal,1.219667493700981,0.36618
normal,1.219667493700981,0.44166
normal,1.219667493700981,0.48938
normal,1.219667493700981,0.52674
normal,1.219667493700981,0.56318
normal,1.219667493700981,0.59634
normal,1.219667493700981,0.61908
normal,1.219667493700981,0.64954
normal,1.219667493700981,0.67512
normal,1.219667493700981,0.69598
normal,1.219667493700981,0.71684
normal,1.219667493700981,0.73604
normal,1.219667493700981,0.75554
normal,1.219667493700981,0.77486
normal,1.219667493700981,0.79568
normal,1.219667493700981,0.81318
normal,1.219667493700981,0.83286
normal,1.219667493700981,0.85034
normal,1.219667493700981,0.86588
normal,1.219667493700981,0.87678
normal,1.219667493700981,0.89862
normal,1.219667493700981,0.91244
normal,1.219667493700981,0.92122
normal,1.219667493700981,0.92768
normal,1.219667493700981,0.94404
normal,1.219667493700981,0.94786
normal,1.219667493700981,0.95498
normal,1.219667493700981,0.95754
normal,1.219667493700981,0.96254
normal,1.219667493700981,0.96734
normal,1.219667493700981,0.97064
normal,1.219667493700981,0.97636
normal,1.219667493700981,0.97362
normal,1.219667493700981,0.9793
normal,1.219667493700981,0.98142
normal,1.219667493700981,0.98108
normal,1.219667493700981,0.98212
normal,1.219667493700981,0.98472
normal,1.219667493700981,0.98126
normal,1.1387378917932511,0.19308
normal,1.1387378917932511,0.36618
normal,1.1387378917932511,0.44166
normal,1.1387378917932511,0.48938
normal,1.1387378917932511,0.52674
normal,1.1387378917932511,0.56318
normal,1.1387378917932511,0.59634
normal,1.1387378917932511,0.61908
normal,1.1387378917932511,0.64954
normal,1.1387378917932511,0.67512
normal,1.1387378917932511,0.69598
normal,1.1387378917932511,0.71684
normal,1.1387378917932511,0.73604
normal,1.1387378917932511,0.75554
normal,1.1387378917932511,0.77486
normal,1.1387378917932511,0.79568
normal,1.1387378917932511,0.81318
normal,1.1387378917932511,0.83286
normal,1.1387378917932511,0.85034
normal,1.1387378917932511,0.86588
normal,1.1387378917932511,0.87678
normal,1.1387378917932511,0.89862
normal,1.1387378917932511,0.91244
normal,1.1387378917932511,0.92122
normal,1.1387378917932511,0.92768
normal,1.1387378917932511,0.94404
normal,1.1387378917932511,0.94786
normal,1.1387378917932511,0.95498
normal,1.1387378917932511,0.95754
normal,1.1387378917932511,0.96254
normal,1.1387378917932511,0.96734
normal,1.1387378917932511,0.97064
normal,1.1387378917932511,0.97636
normal,1.1387378917932511,0.97362
normal,1.1387378917932511,0.9793
normal,1.1387378917932511,0.98142
normal,1.1387378917932511,0.98108
normal,1.1387378917932511,0.98212
normal,1.1387378917932511,0.98472
normal,1.1387378917932511,0.98126
normal,1.0653254634141922,0.19308
normal,1.0653254634141922,0.36618
normal,1.0653254634141922,0.44166
normal,1.0653254634141922,0.48938
normal,1.0653254634141922,0.52674
normal,1.0653254634141922,0.56318
normal,1.0653254634141922,0.59634
normal,1.0653254634141922,0.61908
normal,1.0653254634141922,0.64954
normal,1.0653254634141922,0.67512
normal,1.0653254634141922,0.69598
normal,1.0653254634141922,0.71684
normal,1.0653254634141922,0.73604
normal,1.0653254634141922,0.75554
normal,1.0653254634141922,0.77486
normal,1.0653254634141922,0.79568
normal,1.0653254634141922,0.81318
normal,1.0653254634141922,0.83286
normal,1.0653254634141922,0.85034
normal,1.0653254634141922,0.86588
normal,1.0653254634141922,0.87678
normal,1.0653254634141922,0.89862
normal,1.0653254634141922,0.91244
normal,1.0653254634141922,0.92122
normal,1.0653254634141922,0.92768
normal,1.0653254634141922,0.94404
normal,1.0653254634141922,0.94786
normal,1.0653254634141922,0.95498
normal,1.0653254634141922,0.95754
normal,1.0653254634141922,0.96254
normal,1.0653254634141922,0.96734
normal,1.0653254634141922,0.97064
normal,1.0653254634141922,0.97636
normal,1.0653254634141922,0.97362
normal,1.0653254634141922,0.9793
normal,1.0653254634141922,0.98142
normal,1.0653254634141922,0.98108
normal,1.0653254634141922,0.98212
normal,1.0653254634141922,0.98472
normal,1.0653254634141922,0.98126
normal,0.9949042185544967,0.19308
normal,0.9949042185544967,0.36618
normal,0.9949042185544967,0.44166
normal,0.9949042185544967,0.48938
normal,0.9949042185544967,0.52674
normal,0.9949042185544967,0.56318
normal,0.9949042185544967,0.59634
normal,0.9949042185544967,0.61908
normal,0.9949042185544967,0.64954
normal,0.9949042185544967,0.67512
normal,0.9949042185544967,0.69598
normal,0.9949042185544967,0.71684
normal,0.9949042185544967,0.73604
