Type,Train Losses,Test Accuracies
normal,"[2.105745845556259, 1.7422829041481018]",[0.41688]
adversarial_pgd_eps_0.02,"[2.3381109080314637, 2.304525185585022]",[0.1]
adversarial_pgd_eps_0.04,"[2.3045281591415407, 2.3044990091323854]",[0.1]
adversarial_pgd_eps_0.06,"[2.3046838355064394, 2.304488751411438]",[0.1]
adversarial_pgd_l2_eps_0.02,"[2.3044288940429687, 2.304428699016571]",[0.1]
adversarial_pgd_l2_eps_0.04,"[2.3045922541618347, 2.304394049167633]",[0.1]
adversarial_pgd_l2_eps_0.06,"[2.3044742555618285, 2.304705147743225]",[0.1]
adversarial_fgsm_eps_0.02,"[2.303018711090088, 2.3029029235839844]",[0.1]
adversarial_fgsm_eps_0.04,"[2.3029099178314207, 2.3028188343048095]",[0.1]
adversarial_fgsm_eps_0.06,"[2.3028870849609375, 2.3028988699913024]",[0.1]
